Region,Province,CityMunicipality,ZipCode
Region VIi (Central VIsayas),Cebu,Barili,6036
Region VIi (Central VIsayas),Cebu,City Of Bogo,6010
Region VIi (Central VIsayas),Cebu,Boljoon,6024
Region VIi (Central VIsayas),Cebu,Borbon,6008
Region VIi (Central VIsayas),Cebu,City Of Carcar,6019
Region VIi (Central VIsayas),Cebu,Carmen,6005
Region VIi (Central VIsayas),Cebu,Catmon,6006
Region VIi (Central VIsayas),Cebu,Cebu City (Capital),6000
Region VIi (Central VIsayas),Cebu,Compostela,6003
Region VIi (Central VIsayas),Cebu,Consolacion,6001
Region VIi (Central VIsayas),Cebu,Cordova,6017
Region VIi (Central VIsayas),Cebu,Dalaguete,6022
Region VIi (Central VIsayas),Cebu,Danao City,6004
Region VIi (Central VIsayas),Cebu,Dumanjug,6035
Region VIi (Central VIsayas),Cebu,Ginatilan,6028
Region VIi (Central VIsayas),Cebu,Lapu-Lapu City (Opon),6015
Region VIi (Central VIsayas),Cebu,Liloan,6002
Region VIi (Central VIsayas),Cebu,Madridejos,6053
Region VIi (Central VIsayas),Cebu,Malabuyoc,6029
Region VIi (Central VIsayas),Cebu,Mandaue City,6014
Region VIi (Central VIsayas),Cebu,Medellin,6012
Region VIi (Central VIsayas),Cebu,Minglanilla,6046
Region VIi (Central VIsayas),Cebu,Moalboal,6032
Region VIi (Central VIsayas),Cebu,City Of Naga,6037
Region VIi (Central VIsayas),Cebu,Oslob,6025
Region VIi (Central VIsayas),Cebu,Pilar,6048
Region VIi (Central VIsayas),Cebu,Poro,6049
Region VIi (Central VIsayas),Cebu,Ronda,6034
Region VIi (Central VIsayas),Cebu,Samboan,6027
Region VIi (Central VIsayas),Cebu,San Fernando,6018
Region VIi (Central VIsayas),Cebu,San Francisco,6050
Region VIi (Central VIsayas),Cebu,Santa Fe,6047
Region VIi (Central VIsayas),Cebu,Santander,6026
Region VIi (Central VIsayas),Cebu,Sibonga,6020
Region VIi (Central VIsayas),Cebu,Sogod,6007
Region VIi (Central VIsayas),Cebu,Tabogon,6009
Region VIi (Central VIsayas),Cebu,Tabuelan,6044
Region VIi (Central VIsayas),Cebu,City Of Talisay,6045
Region VIi (Central VIsayas),Cebu,Toledo City,6038
Region VIi (Central VIsayas),Cebu,Tuburan,6043
Region VIi (Central VIsayas),Cebu,Tudela,6051
Region VIi (Central VIsayas),Cebu,Daanbantayan,6013
Region VIi (Central VIsayas),Cebu,Pinamungahan,6039
Region VIi (Central VIsayas),Cebu,San Remigio,6011
Region IX (Zamboanga Peninsula),City Of Isabela,City Of Isabela,7300
Region XI (Davao Region),Compostela Valley,Compostela,8803
Region XI (Davao Region),Compostela Valley,Laak (San VIcente),8810
Region XI (Davao Region),Compostela Valley,Mabini (Dońa Alicia),8807
Region XI (Davao Region),Compostela Valley,Maco,8806
Region XI (Davao Region),Compostela Valley,Maragusan (San Mariano),8808
Region XI (Davao Region),Compostela Valley,Mawab,8802
Region XI (Davao Region),Compostela Valley,Monkayo,8805
Region XI (Davao Region),Compostela Valley,Montevista,8801
Region XI (Davao Region),Compostela Valley,Nabunturan (Capital),8800
Region XI (Davao Region),Compostela Valley,New Bataan,8804
Region XI (Davao Region),Compostela Valley,Pantukan,8809
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Alamada,9413
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Carmen,9408
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Kabacan,9407
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),City Of Kidapawan (Capital),9400
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Libungan,9411
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Magpet,9404
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Makilala,9401
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Matalam,9406
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Midsayap,9410
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),M'Lang,9402
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Pigkawayan,9412
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Pikit,9409
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),President Roxas,9405
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Tulunan,9403
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Antipas,9414
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Banisilan,9415
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Aleosan,9416
Region XIi (SOCCSKSARGEN),Cotabato (North Cotabato),Arakan,9417
Region XIi (SOCCSKSARGEN),Cotabato City,Cotabato City,9600
Region XI (Davao Region),Davao del Norte,Asuncion (Saug),8102
Region XI (Davao Region),Davao del Norte,Carmen,8101
Region XI (Davao Region),Davao del Norte,Kapalong,8113
Region XI (Davao Region),Davao del Norte,New Corella,8104
Region XI (Davao Region),Davao del Norte,City Of Panabo,8105
Region XI (Davao Region),Davao del Norte,Santo Tomas,8112
Region XI (Davao Region),Davao del Norte,City Of Tagum (Capital),8100
Region XI (Davao Region),Davao del Norte,Talaingod,8107
Region XI (Davao Region),Davao del Norte,Braulio E. Dujali,8106
Region XI (Davao Region),Davao del Norte,San Isidro,8121
Region XI (Davao Region),Davao del Norte,Island Garden City Of Samal,8119
Region XI (Davao Region),Davao del Sur,Bansalan,8005
Region XI (Davao Region),Davao del Sur,Davao City,8000
Region XI (Davao Region),Davao del Sur,City Of Digos (Capital),8002
Region XI (Davao Region),Davao del Sur,Hagonoy,8006
Region XI (Davao Region),Davao del Sur,Kiblawan,8008
Region XI (Davao Region),Davao del Sur,Magsaysay,8004
Region XI (Davao Region),Davao del Sur,Malalag,8010
Region XI (Davao Region),Davao del Sur,Matanao,8003
Region XI (Davao Region),Davao del Sur,Padada,8007
Region XI (Davao Region),Davao del Sur,Santa Cruz,8001
Region XI (Davao Region),Davao del Sur,Sulop,8009
Region XI (Davao Region),Davao Occidental,Don Marcelino,8013
Region XI (Davao Region),Davao Occidental,Jose Abad Santos (Trinidad),8014
Region XI (Davao Region),Davao Occidental,Malita,8012
Region XI (Davao Region),Davao Occidental,Santa Maria,8011
Region XI (Davao Region),Davao Occidental,Sarangani,8015
Region XI (Davao Region),Davao Oriental,Baganga,8204
Region XI (Davao Region),Davao Oriental,Banaybanay,8208
Region XI (Davao Region),Davao Oriental,Boston,8206
Region XI (Davao Region),Davao Oriental,Caraga,8203
Region XI (Davao Region),Davao Oriental,Cateel,8205
Region XI (Davao Region),Davao Oriental,Lupon,8207
Region XI (Davao Region),Davao Oriental,Manay,8202
Region XI (Davao Region),Davao Oriental,City Of Mati (Capital),8200
Region XI (Davao Region),Davao Oriental,San Isidro,8209
Region XI (Davao Region),Davao Oriental,Tarragona,8201
Region XI (Davao Region),Davao Oriental,Governor Generoso,8204
Region XIii (Caraga),Dinagat Islands,Basilisa (Rizal),8413
Region XIii (Caraga),Dinagat Islands,Cagdianao,8411
Region XIii (Caraga),Dinagat Islands,Dinagat,8412
Region XIii (Caraga),Dinagat Islands,Libjo (Albor),8414
Region XIii (Caraga),Dinagat Islands,Loreto,8415
Region XIii (Caraga),Dinagat Islands,San Jose (Capital),8427
Region XIii (Caraga),Dinagat Islands,Tubajon,8426
Region VIii (Eastern VIsayas),Eastern Samar,Arteche,6822
Region VIii (Eastern VIsayas),Eastern Samar,Balangiga,6812
Region VIii (Eastern VIsayas),Eastern Samar,Balangkayan,6801
Region VIii (Eastern VIsayas),Eastern Samar,City Of Borongan (Capital),6800
Region VIii (Eastern VIsayas),Eastern Samar,Can-Avid,6806
Region VIii (Eastern VIsayas),Eastern Samar,Dolores,6817
Region VIii (Eastern VIsayas),Eastern Samar,Giporlos,6811
Region VIii (Eastern VIsayas),Eastern Samar,Guiuan,6809
Region VIii (Eastern VIsayas),Eastern Samar,Hernani,6804
Region VIii (Eastern VIsayas),Eastern Samar,Jipapad,6819
Region VIii (Eastern VIsayas),Eastern Samar,Lawaan,6813
Region VIii (Eastern VIsayas),Eastern Samar,Llorente,6803
Region VIii (Eastern VIsayas),Eastern Samar,Maslog,6820
Region VIii (Eastern VIsayas),Eastern Samar,Maydolong,6802
Region VIii (Eastern VIsayas),Eastern Samar,Mercedes,6808
Region VIii (Eastern VIsayas),Eastern Samar,Oras,6818
Region VIii (Eastern VIsayas),Eastern Samar,Quinapondan,6810
Region VIii (Eastern VIsayas),Eastern Samar,Salcedo,6807
Region VIii (Eastern VIsayas),Eastern Samar,San Julian,6814
Region VIii (Eastern VIsayas),Eastern Samar,Sulat,6815
Region VIii (Eastern VIsayas),Eastern Samar,Taft,6816
Region VIii (Eastern VIsayas),Eastern Samar,General Macarthur,6805
Region VIii (Eastern VIsayas),Eastern Samar,San Policarpo,6821
Region VI (Western VIsayas),Guimaras,Buenavista,5044
Region VI (Western VIsayas),Guimaras,Jordan (Capital),5045
Region VI (Western VIsayas),Guimaras,Nueva Valencia,5046
Region VI (Western VIsayas),Guimaras,San Lorenzo,5047
Region VI (Western VIsayas),Guimaras,Sibunag,5048
Cordillera Administrative Region (Car),Ifugao,Banaue,3601
Cordillera Administrative Region (Car),Ifugao,Hungduan,3603
Cordillera Administrative Region (Car),Ifugao,Kiangan,3604
Cordillera Administrative Region (Car),Ifugao,Lagawe (Capital),3600
Cordillera Administrative Region (Car),Ifugao,Lamut,3605
Cordillera Administrative Region (Car),Ifugao,Mayoyao,3602
Cordillera Administrative Region (Car),Ifugao,Aguinaldo,3606
Cordillera Administrative Region (Car),Ifugao,Hingyon,3607
Cordillera Administrative Region (Car),Ifugao,Tinoc,3609
Cordillera Administrative Region (Car),Ifugao,Asipulo,3610
Cordillera Administrative Region (Car),Ifugao,Alfonso Lista (Potia),3608
Region I (Ilocos Region),Ilocos Norte,Adams,2922
Region I (Ilocos Region),Ilocos Norte,Bacarra,2916
Region I (Ilocos Region),Ilocos Norte,Badoc,2904
Region I (Ilocos Region),Ilocos Norte,Bangui,2920
Region I (Ilocos Region),Ilocos Norte,City Of Batac,2906
Region I (Ilocos Region),Ilocos Norte,Burgos,2918
Region I (Ilocos Region),Ilocos Norte,Carasi,2911
Region I (Ilocos Region),Ilocos Norte,Currimao,2903
Region I (Ilocos Region),Ilocos Norte,Dingras,2913
Region I (Ilocos Region),Ilocos Norte,Dumalneg,2921
Region I (Ilocos Region),Ilocos Norte,Banna (Espiritu),2908
Region I (Ilocos Region),Ilocos Norte,Laoag City (Capital),2900
Region I (Ilocos Region),Ilocos Norte,Marcos,2907
Region I (Ilocos Region),Ilocos Norte,Nueva Era,2909
Region I (Ilocos Region),Ilocos Norte,Pagudpud,2919
Region I (Ilocos Region),Ilocos Norte,Paoay,2902
Region I (Ilocos Region),Ilocos Norte,Pasuquin,2917
Region I (Ilocos Region),Ilocos Norte,Piddig,2912
Region I (Ilocos Region),Ilocos Norte,Pinili,2905
Region I (Ilocos Region),Ilocos Norte,San Nicolas,2901
Region I (Ilocos Region),Ilocos Norte,Sarrat,2914
Region I (Ilocos Region),Ilocos Norte,Solsona,2910
Region I (Ilocos Region),Ilocos Norte,VIntar,2915
Region I (Ilocos Region),Ilocos Sur,Alilem,2716
Region I (Ilocos Region),Ilocos Sur,Banayoyo,2708
Region I (Ilocos Region),Ilocos Sur,Bantay,2727
Region I (Ilocos Region),Ilocos Sur,Burgos,2724
Region I (Ilocos Region),Ilocos Sur,Cabugao,2732
Region I (Ilocos Region),Ilocos Sur,City Of Candon,2710
Region I (Ilocos Region),Ilocos Sur,Caoayan,2702
Region I (Ilocos Region),Ilocos Sur,Cervantes,2718
Region I (Ilocos Region),Ilocos Sur,Galimuyod,2709
Region I (Ilocos Region),Ilocos Sur,Gregorio Del Pilar (Concepcion),2720
Region I (Ilocos Region),Ilocos Sur,Magsingal,2730
Region I (Ilocos Region),Ilocos Sur,Nagbukel,2725
Region I (Ilocos Region),Ilocos Sur,Narvacan,2704
Region I (Ilocos Region),Ilocos Sur,Quirino (Angkaki),2721
Region I (Ilocos Region),Ilocos Sur,Salcedo (Baugen),2711
Region I (Ilocos Region),Ilocos Sur,San Emilio,2722
Region I (Ilocos Region),Ilocos Sur,San Esteban,2706
Region I (Ilocos Region),Ilocos Sur,San Ildefonso,2728
Region I (Ilocos Region),Ilocos Sur,San Juan (Lapog),2731
Region I (Ilocos Region),Ilocos Sur,San VIcente,2726
Region I (Ilocos Region),Ilocos Sur,Santa,2703
Region I (Ilocos Region),Ilocos Sur,Santa Catalina,2701
Region I (Ilocos Region),Ilocos Sur,Santa Cruz,2713
Region I (Ilocos Region),Ilocos Sur,Santa Lucia,2712
Region I (Ilocos Region),Ilocos Sur,Santa Maria,2705
Region I (Ilocos Region),Ilocos Sur,Santiago,2707
Region I (Ilocos Region),Ilocos Sur,Santo Domingo,2729
Region I (Ilocos Region),Ilocos Sur,Sigay,2719
Region I (Ilocos Region),Ilocos Sur,Sinait,2733
Region I (Ilocos Region),Ilocos Sur,Sugpon,2717
Region I (Ilocos Region),Ilocos Sur,Suyo,2715
Region I (Ilocos Region),Ilocos Sur,Tagudin,2714
Region I (Ilocos Region),Ilocos Sur,City Of VIgan (Capital),2700
Region I (Ilocos Region),Ilocos Sur,Lidlidda,2723
Region VI (Western VIsayas),Iloilo,Ajuy,5012
Region VI (Western VIsayas),Iloilo,Alimodian,5028
Region VI (Western VIsayas),Iloilo,Anilao,5009
Region VI (Western VIsayas),Iloilo,Badiangan,5033
Region VI (Western VIsayas),Iloilo,Balasan,5018
Region VI (Western VIsayas),Iloilo,Banate,5010
Region VI (Western VIsayas),Iloilo,Barotac Nuevo,5007
Region VI (Western VIsayas),Iloilo,Barotac VIejo,5011
Region VI (Western VIsayas),Iloilo,Batad,5016
Region VI (Western VIsayas),Iloilo,Bingawan,5041
Region VI (Western VIsayas),Iloilo,Cabatuan,5031
Region VI (Western VIsayas),Iloilo,Calinog,5040
Region VI (Western VIsayas),Iloilo,Carles,5019
Region VI (Western VIsayas),Iloilo,Concepcion,5013
Region VI (Western VIsayas),Iloilo,Dingle,5035
Region VI (Western VIsayas),Iloilo,Dueńas,5038
Region VI (Western VIsayas),Iloilo,Dumangas,5006
Region VI (Western VIsayas),Iloilo,Estancia,5017
Region VI (Western VIsayas),Iloilo,Guimbal,5022
Region VI (Western VIsayas),Iloilo,Igbaras,5029
Region VI (Western VIsayas),Iloilo,Iloilo City (Capital),5000
Region VI (Western VIsayas),Iloilo,Janiuay,5034
Region VI (Western VIsayas),Iloilo,Lambunao,5042
Region VI (Western VIsayas),Iloilo,Leganes,5003
Region VI (Western VIsayas),Iloilo,Lemery,5043
Region VI (Western VIsayas),Iloilo,Leon,5026
Region VI (Western VIsayas),Iloilo,Maasin,5030
Region VI (Western VIsayas),Iloilo,Miagao,5023
Region VI (Western VIsayas),Iloilo,Mina,5032
Region VI (Western VIsayas),Iloilo,New Lucena,5005
Region VI (Western VIsayas),Iloilo,Oton,5020
Region VI (Western VIsayas),Iloilo,City Of Passi,5037
Region VI (Western VIsayas),Iloilo,Pavia,5001
Region VI (Western VIsayas),Iloilo,Pototan,5008
Region VI (Western VIsayas),Iloilo,San Dionisio,5015
Region VI (Western VIsayas),Iloilo,San Enrique,5036
Region VI (Western VIsayas),Iloilo,San Joaquin,5024
Region VI (Western VIsayas),Iloilo,San Miguel,5025
Region VI (Western VIsayas),Iloilo,San Rafael,5039
Region VI (Western VIsayas),Iloilo,Santa Barbara,5002
Region VI (Western VIsayas),Iloilo,Sara,5014
Region VI (Western VIsayas),Iloilo,Tigbauan,5021
Region VI (Western VIsayas),Iloilo,Tubungan,5027
Region VI (Western VIsayas),Iloilo,Zarraga,5004
Region II (Cagayan Valley),Isabela,Alicia,3306
Region II (Cagayan Valley),Isabela,Angadanan,3307
Region II (Cagayan Valley),Isabela,Aurora,3316
Region II (Cagayan Valley),Isabela,Benito Soliven,3331
Region II (Cagayan Valley),Isabela,Burgos,3322
Region II (Cagayan Valley),Isabela,Cabagan,3328
Region II (Cagayan Valley),Isabela,Cabatuan,3315
Region II (Cagayan Valley),Isabela,City Of Cauayan,3305
Region II (Cagayan Valley),Isabela,Cordon,3312
Region II (Cagayan Valley),Isabela,Dinapigue,3336
Region II (Cagayan Valley),Isabela,Divilacan,3335
Region II (Cagayan Valley),Isabela,Echague,3309
Region II (Cagayan Valley),Isabela,Gamu,3301
Region II (Cagayan Valley),Isabela,Jones,3313
Region II (Cagayan Valley),Isabela,Luna,3304
Region II (Cagayan Valley),Isabela,Maconacon,3333
Region II (Cagayan Valley),Isabela,Delfin Albano (Magsaysay),3326
Region II (Cagayan Valley),Isabela,Mallig,3323
Region II (Cagayan Valley),Isabela,Palanan,3334
Region II (Cagayan Valley),Isabela,Quezon,3324
Region II (Cagayan Valley),Isabela,Quirino,3321
Region II (Cagayan Valley),Isabela,Ramon,3319
Region II (Cagayan Valley),Isabela,Reina Mercedes,3303
Region II (Cagayan Valley),Isabela,Roxas,3320
Region II (Cagayan Valley),Isabela,San Agustin,3314
Region II (Cagayan Valley),Isabela,San Guillermo,3308
Region II (Cagayan Valley),Isabela,San Isidro,3310
Region II (Cagayan Valley),Isabela,San Manuel,3317
Region II (Cagayan Valley),Isabela,San Mariano,3332
Region II (Cagayan Valley),Isabela,San Mateo,3318
Region II (Cagayan Valley),Isabela,San Pablo,3329
Region II (Cagayan Valley),Isabela,Tumauini,3325
Region II (Cagayan Valley),Isabela,Ilagan City (Capital),3300
Region II (Cagayan Valley),Isabela,Naguilian,3302
Region II (Cagayan Valley),Isabela,Santa Maria,3330
Region II (Cagayan Valley),Isabela,City Of Santiago,3311
Region II (Cagayan Valley),Isabela,Santo Tomas,3327
Cordillera Administrative Region (Car),Kalinga,Balbalan,3801
Cordillera Administrative Region (Car),Kalinga,Lubuagan,3802
Cordillera Administrative Region (Car),Kalinga,Pasil,3803
Cordillera Administrative Region (Car),Kalinga,Rizal (Liwan),3808
Cordillera Administrative Region (Car),Kalinga,Tanudan,3805
Cordillera Administrative Region (Car),Kalinga,Tinglayan,3804
Cordillera Administrative Region (Car),Kalinga,Pinukpuk,3806
Cordillera Administrative Region (Car),Kalinga,City Of Tabuk (Capital),3800
Region I (Ilocos Region),La Union,Agoo,2504
Region I (Ilocos Region),La Union,Aringay,2503
Region I (Ilocos Region),La Union,Bacnotan,2515
Region I (Ilocos Region),La Union,Bagulin,2512
Region I (Ilocos Region),La Union,Balaoan,2517
Region I (Ilocos Region),La Union,Bangar,2519
Region I (Ilocos Region),La Union,Bauang,2501
Region I (Ilocos Region),La Union,Burgos,2510
Region I (Ilocos Region),La Union,Caba,2502
Region I (Ilocos Region),La Union,Luna,2518
Region I (Ilocos Region),La Union,Naguilian,2511
Region I (Ilocos Region),La Union,Pugo,2508
Region I (Ilocos Region),La Union,Rosario,2506
Region I (Ilocos Region),La Union,City Of San Fernando (Capital),2500
Region I (Ilocos Region),La Union,San Gabriel,2513
Region I (Ilocos Region),La Union,San Juan,2514
Region I (Ilocos Region),La Union,Santol,2516
Region I (Ilocos Region),La Union,Sudipen,2520
Region I (Ilocos Region),La Union,Tubao,2509
Region I (Ilocos Region),La Union,Santo Tomas,2505
Region IV-A (CALABARZON),Laguna,Alaminos,4001
Region IV-A (CALABARZON),Laguna,Bay,4033
Region IV-A (CALABARZON),Laguna,City Of Bińan,4024
Region IV-A (CALABARZON),Laguna,City Of Calamba,4027
Region IV-A (CALABARZON),Laguna,Cavinti,4013
Region IV-A (CALABARZON),Laguna,Famy,4021
Region IV-A (CALABARZON),Laguna,Kalayaan,4015
Region IV-A (CALABARZON),Laguna,Liliw,4004
Region IV-A (CALABARZON),Laguna,Los Bańos,4030
Region IV-A (CALABARZON),Laguna,Luisiana,4032
Region IV-A (CALABARZON),Laguna,Lumban,4014
Region IV-A (CALABARZON),Laguna,Mabitac,4020
Region IV-A (CALABARZON),Laguna,Magdalena,4007
Region IV-A (CALABARZON),Laguna,Majayjay,4005
Region IV-A (CALABARZON),Laguna,Nagcarlan,4002
Region IV-A (CALABARZON),Laguna,Paete,4016
Region IV-A (CALABARZON),Laguna,Pagsanjan,4008
Region IV-A (CALABARZON),Laguna,Pakil,4017
Region IV-A (CALABARZON),Laguna,Pangil,4018
Region IV-A (CALABARZON),Laguna,Pila,4010
Region IV-A (CALABARZON),Laguna,Rizal,4003
Region IV-A (CALABARZON),Laguna,San Pablo City,4000
Region IV-A (CALABARZON),Laguna,City Of San Pedro,4023
Region IV-A (CALABARZON),Laguna,Siniloan,4019
Region IV-A (CALABARZON),Laguna,VIctoria,4011
Region IV-A (CALABARZON),Laguna,Cabuyao City,4025
Region IV-A (CALABARZON),Laguna,Calauan,4012
Region IV-A (CALABARZON),Laguna,Santa Cruz (Capital),4009
Region IV-A (CALABARZON),Laguna,Santa Maria,4022
Region IV-A (CALABARZON),Laguna,City Of Santa Rosa,4026
Region X (Northern Mindanao),Lanao del Norte,Bacolod,9205
Region X (Northern Mindanao),Lanao del Norte,Baloi,9217
Region X (Northern Mindanao),Lanao del Norte,Baroy,9210
Region X (Northern Mindanao),Lanao del Norte,Iligan City,9200
Region X (Northern Mindanao),Lanao del Norte,Kapatagan,9214
Region X (Northern Mindanao),Lanao del Norte,Sultan Naga Dimaporo (Karomatan),9215
Region X (Northern Mindanao),Lanao del Norte,Kauswagan,9202
Region X (Northern Mindanao),Lanao del Norte,Kolambugan,9207
Region X (Northern Mindanao),Lanao del Norte,Lala,9211
Region X (Northern Mindanao),Lanao del Norte,Linamon,9201
Region X (Northern Mindanao),Lanao del Norte,Magsaysay,9221
Region X (Northern Mindanao),Lanao del Norte,Maigo,9206
Region X (Northern Mindanao),Lanao del Norte,Matungao,9203
Region X (Northern Mindanao),Lanao del Norte,Munai,9219
Region X (Northern Mindanao),Lanao del Norte,Nunungan,9216
Region X (Northern Mindanao),Lanao del Norte,Pantao Ragat,9208
Region X (Northern Mindanao),Lanao del Norte,Poona Piagapo,9204
Region X (Northern Mindanao),Lanao del Norte,Salvador,9212
Region X (Northern Mindanao),Lanao del Norte,Sapad,9213
Region X (Northern Mindanao),Lanao del Norte,Tagoloan,9222
Region X (Northern Mindanao),Lanao del Norte,Tangcal,9220
Region X (Northern Mindanao),Lanao del Norte,Tubod (Capital),9209
Region X (Northern Mindanao),Lanao del Norte,Pantar,9218
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Balabagan,9302
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Balindong (Watu),9318
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Bayang,9309
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Binidayan,9310
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Bubong,9708
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Butig,9305
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Ganassi,9311
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Kapai,9709
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Lumbatan,9307
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Madalum,9315
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Madamba,9314
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Malabang,9300
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Marantao,9711
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Marawi City (Capital),9700
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Masiu,9706
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Mulondo,9702
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Pagayawan (Tatarikan),9312
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Piagapo,9710
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Poona Bayabao (Gata),9705
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Pualas,9313
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Saguiaran,9701
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Tamparan,9704
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Taraka,9712
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Tubaran,9304
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Tugaya,9317
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Wao,9716
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Marogong,9303
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Calanogas,9319
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Maguing,9715
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Picong (Sultan Gumander),9301
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Lumbayanague,9306
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Bumbaran,9320
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Kapatagan,9322
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Bacolod-Kalawi (Bacolod Grande),9316
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Lumba-Bayabao (Maguing),9303
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Ditsaan-Ramain,9313
Autonomous Region In Muslim Mindanao (Armm),Lanao del Sur,Buadiposo-Buntong,9308
